"","comments","event","Date"
"2944","I knew they were dodgy when they their shampoo was "" no more "" but upon it to my huge rectal toy , it still produced a tear .","AZ Clots","2021-04-13"
"2945","They ' start again soon .","AZ Clots","2021-04-13"
"2946","First cancer now this Bad bad bad J & j","AZ Clots","2021-04-13"
"2947","crossed !","AZ Clots","2021-04-13"
"2948","We ' re all Guinea being tested","AZ Clots","2021-04-13"
"2949","Crap","AZ Clots","2021-04-13"
"2950","😂","AZ Clots","2021-04-13"
"2951","A try aa the the","AZ Clots","2021-05-14"
"2952","I took the vaccine my were hot to the touch last night , but felt like there was no blood circulation . My felt like they were freezing and hurting real bad 😢 Am I part of the trial . ' t no 😥","AZ Clots","2021-04-18"
"2953",": trust the science . The vaccine is safe . Only a small number . Also : the entire law enforcement system needs to be because less than 20 per year out of of of police .","AZ Clots","2021-04-17"
"2954","The of throwing a clot with the J & J vaccine is merely 1 / 1 , 000 , 000 , 000 ; while on birth control face a 1 / 10 , 000 risk EVERY MONTH that they take it .. All 6 of the people who blood after taking the J & J vaccine were , age 18 - 48 ( basically , child bearing ). How much do you want to bet they were on birth control ? It that the vaccine slightly the chance that a woman ' s birth control will cause to form , the next time she it , after the vaccine . Maybe , not even that . They might have blood , whether or not , they had the vaccine . The fact that they within 3wks of inoculation , COULD BE just a coincident . It ' s long been suspected that been enjoying kick from . But is no longer a death sentence , so associated are probably running thin . by the fact that he ' s actively suppressed other less expensive covid , and ( that would also dilute from the vaccine ), it is highly likely that he ' s IN BED with ( and perhaps other big ). If so , he can ' t have another vaccine off , by appealing to people who don ' t trust technology ; and he had to step in to nullify the competition .","AZ Clots","2021-04-16"
"2955","You ’ re a fool if you ’ re not concerned about death from an injection from something that a 99 . 8 percent recovery rate .... just saying","AZ Clots","2021-04-15"
"2956","It ’ s a concern if you ’ re the unlucky one who up dead .","AZ Clots","2021-04-15"
"2957","Just more not to get this particular vaccine from any of these .","AZ Clots","2021-04-15"
"2958","I took the vaccine like exactly a month ago and I ’ m fine . n I ’ m 19 old n I ’ m a female I ’ m","AZ Clots","2021-04-15"
"2959","Good luck to all the people who the release to hold anybody or anyone or anything responsible for any side effects of your . Now because of your blind do you happen deadly group of surging through your body not knowing what it ’ s going to do to you","AZ Clots","2021-04-15"
"2960","J & J or nothing .","AZ Clots","2021-04-15"
"2961","Why ' t the other get the same attention . Give us back our choice . Seriously , 6 out of over 7 million ?","AZ Clots","2021-04-15"
"2962","This me hesitant or suspicious about taking the especially J & J","AZ Clots","2021-04-15"
"2963","You can cover up only so much !","AZ Clots","2021-04-15"
"2964","I don ' t even know how they were able to do a vaccine considering all the that they gave ovarian cancer to with the baby powder . That ' s the reason why I on the vaccine .","AZ Clots","2021-04-14"
"2965","Lord how many people have to die before the world & is not a pharmaceutical company , this is the same company and the same group of wicked corporate that at somebody dying from their talcum powder , stick to making baby oil and baby lotion you bunch of no - good corporate in","AZ Clots","2021-04-14"
"2966","In the J & J vaccine , it like it is not the carrier that the severe blood in the human body . It is what the is carrying , that is the of the covid virus itself , that is causing the human body immune system to go haywire and create blood . And it certainly like all western covid that use either the new technology or the new technology are the causing blood , and low blood platelet as their side effects . In contrast if one how traditionally proven and safe have been produced in the past ( for e . g . the rabies vaccine ), it always been to use virus as the basis of such safe . And this same safe method is being used by China pharmaceutical ( such as and ) to produce their covid which is the reason why no such severe such as blood , and low are seen in China covid . In their haste to approve the new and tech of western , the medical community of many have to see the big difference in how covid are made by western pharmaceutical and China . These medical have repeatedly brushed aside severe side effects of western covid as unrelated to the and instead the severe effects and even as due to something else . But now , as evidence to mount and the severe side effects to be identical for these western the new unproven and technology , they are now forced to admit the truth that these new tech are the of the severe side effects . That is only after a few hundred people have already as a result of taking these new tech unproven . The thing about truth is that you can only suppress it up to a certain point before it back up and you with a vengeance .","AZ Clots","2021-04-14"
"2967","Science is ! When trust the science , I do the opposite . # 🤣😂🤣😂","AZ Clots","2021-04-14"
"2968","A lab rat to the other lab rat "" have you gotten the covid shot yet ?"" The other lab rat "" I am waiting 5 for the human trial to be "".","AZ Clots","2021-04-14"
"2969",".... it ’ s only “ rare ” because it ’ s a new vaccine with new . Now we are seeing more people the same related to and more will be over the next month because is accumulative","AZ Clots","2021-04-14"
"2970","🎉🎉 CON - JOB - 19 is over 🎉🎉","AZ Clots","2021-04-14"
"2971","I don ' t have to worry about adverse effects because I won ' t let them put it in my body . Donated blood recently and their test read I have no Covid19 so never had it . I ' just keep wearing a mask and practice social with hand hygiene .","AZ Clots","2021-04-14"
"2972","So they also "" temporarily "" suspended the & vaccine . I recall that the & vaccine is a “ viral vector ” vaccine , the same active ingredient as , and therefore it is not surprising that it gave rise to the same thrombotic risk through the formation of . However , the "" "" , and , certainly do not enjoy a better reputation , since some leading , following serious adverse after their administration , have begun to suspect their safety , not collected by the press . Following these , I decided to do a personal research and I found two interesting on the subject , which I a few days ago , that some independent virologist would analyze them to understand if the thesis in them had any foundation . It is true that the two predate the creation of , but it is also true that this is more in their favor than against , as they cannot be suspected of malicious bias towards these . In them is expressed the thesis according to which the into the body in order to neutralize the spike protein , can cause an abnormal and disproportionate reaction of the , such as to create serious damage to the , as their on have shown . It is known that current are based precisely on the principle of neutralization of the spike protein . I always hope that more serious will be carried out and without conflict of interest , but at the same time I fear that the vaccine machine will instead be to an ever greater speed , without any regard for any that its run . On the other hand , in the last press conference , our Prime Minister told us in no uncertain that if we want to return to enjoy some minimum freedom , we will have to undergo perpetual several times a year , against all and possible , up to the complete implementation of the vaccination plan . In the same conference he added , with a strange expression on his face , that future with pharmaceutical will be done a little better than those of the previous government . So I myself : better in what sense ? I think this may also be of interest to .","AZ Clots","2021-04-14"
"2973","The only true Immunity is the Immunity that the vaccine company ' s enjoy from all liability .","AZ Clots","2021-04-14"
"2974","Bam exactly y other health care just like myself are not taking the vaccine there ' t enough time pass to see what the side effects are ,, trial and error is how they find side effects I will not be one to help them find there I will continue to wear my and stay n masked at all times to wash n take proper","AZ Clots","2021-04-14"
"2975","Just got mine ... This is very scary ...","AZ Clots","2021-04-14"
"2976","love how she she got the j & j shot .. i hope you get the next clot","AZ Clots","2021-04-14"
"2977","The & shot . Later on well everybody get blood or get some other .","AZ Clots","2021-04-14"
"2978","birth control higher % of blood .. so what is really going on here . like they are not the","AZ Clots","2021-04-14"
"2979","Now they ' re saying the covid 19 virus can give you blood . I wonder what the government is covering up .","AZ Clots","2021-04-14"
"2980","This lady is a spin doctor","AZ Clots","2021-04-14"
"2981","What do you do when your some what healthy the and vaccine then a week later she is in the hospital with her heart stopped for a moment and thank God for the and on duty but now she a pace maker and a stint in her","AZ Clots","2021-04-14"
"2982","Keep your poison !","AZ Clots","2021-04-14"
"2983","I got the and vaccine on March 12 . Have had no side effects . Note , I took 2 aspirin before shot , and take one aspirin daily to keep blood thin and for heart . a 64 Year old man . , for those .","AZ Clots","2021-04-14"
"2984","Exactly what we , side effects ! Never listen to the , they are a vaccine company .","AZ Clots","2021-04-14"
"2985","Do people have any idea how serious this is ? Like how do you pause a vaccine that millions of people have already gotten and can ' t take back ? and people wonder why so many are hesitant of a vaccine that is only under "" Emergency Use Authorization "" here that ' s a fancy term for no long term done yet . Glad I haven ' t done it .","AZ Clots","2021-04-14"
"2986","Does anyone know how many of due to ? I got the J and J and have just been feeling weird . a 25 year old female 😢","AZ Clots","2021-04-13"
"2987","Pause the panic when people are getting rare blood 🩸 ??? Why would people be concerned when blood keep blood from getting to your heart , your blood stream and the rest of your body . I think Millions of people might pause for this reason . Just !!!😱😱","AZ Clots","2021-04-13"
"2988","Its more of thing of the other vaccine setting the glass on these while keeping hush on the far more of that lead to the for the who ' s behind the all the attention ? Let the light shine on let the lid be blown off the cover , let massive massive tribulation justice be on the wickedness surrounding this covid thing","AZ Clots","2021-04-13"
"2989","Ban & and declare everyone who took it to be unvaccinated .","AZ Clots","2021-04-13"
"2990","They probably were people with the baby oil mistakenly","AZ Clots","2021-04-13"
"2991","Astonishing that the news media the rare ? Understanding that these are experimental , and new . How then can it be rare ? Simply amazing the spin used by the news media on such an important subject . No clear cause .. imagine that !","AZ Clots","2021-04-13"
"2992","Why ’ t this headline say that J & J vaccine yesterday , 12 ???","AZ Clots","2021-04-13"
"2993","Fake news .. at it ' s best","AZ Clots","2021-04-13"
"2994","The point is you can ' t sue these ... And all this is ... Is in the 2017 "" 2025 - 2028 "" DOCUMENT a playbook of everything going on right now .... Everything from down vaccine to the same # being used right now .. 3 before most people even of of a corona Have you ever seen people after a bad stroke ... a lot of them never get control of their body back .... this is worse than corona","AZ Clots","2021-04-13"
"2995","These woman who got the blood clot after the vaccine must have more in common than age and gender . For heaven ’ s sake use your to help us find out what other they have in common so you can advise who should not take it .","AZ Clots","2021-04-13"
"2996","any and all business that require Vaccine … Even if you did a vaccine …. and for example could easily have and non - …. They just don ’ t want to","AZ Clots","2021-04-13"
"2997","So basically 1 in a million , that this vaccine 600 times less dangerous than a peanut . I completely agree with the roll out , if they can identify a particular group of people that this effects , then those people can be an alternative but reading the here you ’ d think this was finally that smoking gun , proof that are dangerous - it ’ s not , have side effects , just like any other medication . This vaccine an exceedingly rare but serious side effect . If everyone in the had this vaccine 300 - 350 people would have had a blood clot and perhaps 50 would have . That ’ s serious and if we can avoid that by only giving this vaccine to the over 50 ’ s or men then we should , there are but the virus over 500 , 000 people so we should keep a little perspective .","AZ Clots","2021-04-13"
"2998","Are you paying for vaccine ? You cannot because it is for emergency use . This clearly whoever is taking the shot is ready to take risk . Am I ready to take risk is totally depend upon how much I am afraid of corona virus itself . So , it was individual call and good that stepped in .","AZ Clots","2021-04-13"
"2999","I am a blood clot in the brain survivor . I will NOT be getting either . Just because it ' s been not so many YET ... wait ! Blood don ' t happen right away .","AZ Clots","2021-04-13"
"3000","Well well well","AZ Clots","2021-04-13"
"3001","Does this mean we don ’ t have to pay rent for another year ?","AZ Clots","2021-04-13"
"3002","Why is this reporter backing up a corporation and non evidence if she really does not know She is making it sound like it ' s how does she know this she does not misleading information , Really ....","AZ Clots","2021-04-13"
"3003","Well ... nobody is perfect","AZ Clots","2021-04-13"
"3004","➡️ 18cams . ⤵️ B . e . S . T f ' u "" l ' l D . a . T . i . n . G h . o . T G . i . r . L ' s — L — o — V — e — S — e - X ———❤️😘 ..👍 !💖🖤❤️ ！ 、 ！ １万人を超える人が見ていたもん （ ） ！ まさかのカメラ切り忘れでやら1かしたのもドキドキでした ,. 💖🖤 ， ， ， ， ， ， `' 。 ， ， ， 。. ， 。 ， 。 ， ， ， ， （ ， 1618338624","AZ Clots","2021-04-13"
"3005","So in short , a distributor ' s product just ended people ' s and there is not a legal accountability for any of it .","AZ Clots","2021-04-13"
"3006","stock down a whopping 1 . 9 % ha ha !","AZ Clots","2021-04-13"
"3007","I don ’ t think it ’ s a huge problem , if u don ’ t get this vaccine then get the other 2 or don ’ t get one at all .... ’ t concern me","AZ Clots","2021-04-13"
"3008","* From the vaccine consent form :* "" I understand that the long - term side effects or of this vaccine are not known at this time .""","AZ Clots","2021-04-13"
"3009","Where are all the who like to shame & mock people for not trusting now ???","AZ Clots","2021-04-13"
"3010","I thought the pandemic was over , thats so 2019 and its 2 later . No one .","AZ Clots","2021-04-13"
"3011",", , , , or Illness Can Not Exist In Clean Blood Stream . are no longer Physician ’ s , They are of the Drug / . They seem to have abandoned The True Science Of The Physician and Recognition of the Fact , When The Body The Natural It Needs , “ The Body Itself ”. Read , “ This Is A - Attack Alert ”, by B , to better understand the Truth about Vaccination . Vaccine Immunity The Body It ’ s Power To Resist , , Fungi , Bad Bacteria & .","AZ Clots","2021-04-13"
"3012","So if you have no after 2 your clear but if you have a heart attack or stroke then we are sorry ....","AZ Clots","2021-04-13"
"3013","You don ’ t explain why a vaccine would increase blood .","AZ Clots","2021-04-13"
"3014","Wait , the company responsible for asbestos in baby powder causing cancer is now with its vaccine ? Crazy","AZ Clots","2021-04-13"
"3015","The vaccine STILL WORKS !!! Out of 6 MILLION SIX PEOPLE ?! Yes there is a risk but it is smaller than the blood clot issue . CONTINUE THE !!!!","AZ Clots","2021-04-13"
"3016","I don ’ t think a lot of realize , all these are in an ongoing trial and under emergency use not full approval","AZ Clots","2021-04-13"
"3017","Anyone who took the jab ’ t deserve the air they breath","AZ Clots","2021-04-13"
"3018","When there ' s no treatment , there ' s no medicine , there ' s no safety in regard with the rush of making theses : people need to turn to God first","AZ Clots","2021-04-13"
"3019",""".. 10 And he said unto me , Seal not the of the prophecy of this book ; for the time is at hand . 11 Let the unrighteous still do unrighteousness ; let the unclean still be defiled ; let the righteous still do righteousness , and let the holy one still be sanctified . 12 Behold , I am coming soon , and my reward is with me , that I may reward every man according to his works . 13 I am Alpha and Omega , the beginning and the end , the First and the Last . 14 Blessed are those who keep his , that they may have a right to the tree of life , and enter the city by the gate . 15 But outside are dogs , and , and , and , and , and everyone who and does unrighteousness . 16 I , , have sent my angel to bear witness to you in the . I am the root and descendant of , the bright and morning star . 17 And the Spirit and the bride say , Come ! And let him who say : Come ! Let him who is thirsty come , and let him who is desirous take the water of life freely . 18 And I also bear witness to everyone who the of the prophecy of this book : If anyone anything to them , God will put on him the that are written in this book ; 19 And if anyone away anything from the of the book of this prophecy , God will take away from him his part in the book of life , and in the holy city , and in what is written in this book . 20 He who witness to these , "" I am coming soon ."" Amen to that . Hey , come on , Lord ! 21 The grace of our Lord is with you all . Amen to that ."" Revelation of the Evangelist , 22 : 10 - 21","AZ Clots","2021-04-13"
"3020",""" & Vaccine ..."" thereby us , the people of , to redouble our to rapidly find out at any given moment , even while On - Line , who among us are unwittingly contagious ( i . e . - symptomatic or asymptomatic ) in order to # for them to call their doctor and to self - quarantine per in of stopping this pandemic instead of more # . Thus , we ' re for the best while for the worse - case scenario of the # strain ( s ) and like the South , , & # Cluster5Mink rendering current no longer effective .","AZ Clots","2021-04-13"
"3021","What people is the Vaccine affecting .","AZ Clots","2021-04-13"
"3022","Get your experimental Bill 💉","AZ Clots","2021-04-13"
"3023","Very sad . & the news team to report one of the six woman . Just can ’ t rely on the media . 😩","AZ Clots","2021-04-13"
"3024","So while Covid is surging all across the country , we get this major blow to one of the ... a little too convenient in order to keep the pandemic going .","AZ Clots","2021-04-13"
"3025","Yet they ’ re still trying to push people to take the .","AZ Clots","2021-04-13"
"3026","I ' m not going to be a sheep , they have mice to conduct on .","AZ Clots","2021-04-13"
"3027","What the actual f **,","AZ Clots","2021-04-15"
"3028","From To of The Drug / Vaccine . Complete Lack Of Medical Ethics & Integrity . To Better Understand Their False Medical of Efficacy ( Safety ) With , read , “ This Is A - Attack Alert ”, by B , or look at the Video .","AZ Clots","2021-04-15"
"3029","","AZ Clots","2021-04-14"
"3030","I ' m Alison with the help of I ' m finally of skin disease after suffering for over 15years now with several from hospital to hospital but all to no avail until i saw a testimony about you doctor channel and now I boldly say , thank you dr_eseigbe continue your testimony , so people can be too ....","AZ Clots","2021-04-14"
"3031","I ' m Alison with the help of I ' m finally of skin disease after suffering for over 15years now with several from hospital to hospital but all to no avail until i saw a testimony about you doctor channel and now I boldly say , thank you dr_eseigbe continue your testimony , so people can be too ....","AZ Clots","2021-04-14"
"3032","Extremely rare and someone , one life lost . is worth more than extremely rare ..","AZ Clots","2021-04-14"
"3033","Yet they still want everyone to get the Shot .. yeah","AZ Clots","2021-04-14"
"3034","I thought these rushed 2 - 10 to start killing people like j / j this batch up","AZ Clots","2021-04-14"
"3035","Count the coming , it won ' t take long to see and feel the effects of vaccine relief to society .....","AZ Clots","2021-04-14"
"3036","Just sprinkle some baby powder on it .","AZ Clots","2021-04-14"
"3037","Why ’ t this headline say that just J & J vaccine yesterday , 12 ?","AZ Clots","2021-04-14"
"3038","It so wildly impossible to imagine that the people still willfully in a comatose state after a year of this insanity ... will ever wake up . I don ' t know what to think any more ... Sometimes I ' m certain it ' s all a mass awakening happening at turtle - speed , and all is perfect ; divine timing . Other times ... watching in , with excitement over the mark of the beast ... that ' s when I lose my ability to hold on to hope ... ( I also speak in an interview about the coming of 6g and 7g ! How will humanity survive that ?)","AZ Clots","2021-04-14"
"3039","Did everyone suddenly forgot what j & j talcum power produce cancer and fake talcum powder , now you want the vaccine 💉","AZ Clots","2021-04-14"
"3040","All the rushed these , long - term no one the effects ... you could develop blood later in life for all we know .","AZ Clots","2021-04-14"
"3041","One in a million or more ... we are waiting for this one dose and now on hold . Not good !","AZ Clots","2021-04-13"
"3042","F__K A BLOOD CLOT U CAN HAVE THAT ALL BY IMAGINE IF IT U BLOOD WHEN U GET IT THINK OF TWO OR THREE MORE FIVE FROM NOW PROBABLY GROWING IN AND WHO . HAVE FUN","AZ Clots","2021-04-13"
"3043","PYTHON VENOM COULD CAUSE BLOOD . ONE OF THE VACCINE PRODUCTION USED WRONG CHEMICAL WITH 150 MILLION . & THEY HAVE ALREADY BEEN DISTRIBUTED . I THINK THE PRODUCTION WAS IN .","AZ Clots","2021-04-13"
"3044","This is pretty normal for vaccine roll out , pretty much any medication or treatment will have side effects . It ’ s your body ’ s immune system , that will have an effect . 1 death in 6 million is not something to worry about . The reason for the pause is to find out if it effects one group more than another if that ’ s the case then that group will be an alternative vaccine .","AZ Clots","2021-04-13"
"3045","It to be the same case of crime as President Kim Young - sam , a South criminal , and Kim - , his son . It is the same crime as Kim Young - sam and Kim - of South , who evil of abuse of authority by the ' National Intelligence Service ' of South . Investigate how President and his son of the United are the and . . . . Of course , do a public investigation and put him in jail . This case is about the rise and fall of the United . Impeach the president , the father of the criminal . naturally . . .","AZ Clots","2021-04-13"
"3046","They trying to make us into crash test","AZ Clots","2021-04-13"
"3047","When God goes wrong .","AZ Clots","2021-04-13"
"3048","Wild how "" conspiracy and anti "" have been about these for and have been told they ' re stupid and crazy .","AZ Clots","2021-04-13"
"3049","Shame on you medical and pharmaceutical ! Pushing new on the public , without testing them long enough . Don ' t make us your laboratory !","AZ Clots","2021-04-13"
"3050","Definitely not taking this crap . They all were through too quick . take .","AZ Clots","2021-04-13"
"3051","Virus is the new name","AZ Clots","2021-04-13"
"3052","warn us about","AZ Clots","2021-04-13"
"3053","Agenda 21 folk ' s Wake up","AZ Clots","2021-04-13"
"3054",".... covid vaccine safety is a top priority .... while they depopulate the world","AZ Clots","2021-04-13"
"3055","Everyone stop . It ' s really rare ( 6 in 7 million ). They ' re stopping to see if anyone else and to investigate the 6 to see if there are other ( all were so maybe it could be their birth control ). If you took J & J already , please don ' t be due to all the news . Anxiety is going to cause more of a health problem than the vaccine . It ' s .","AZ Clots","2021-04-13"
"3056","and is the best .","AZ Clots","2021-04-13"
"3057","This is why and vaccine is the best tecnology .","AZ Clots","2021-04-13"
"3058","Of course ! Compare to and , this vaccine is much less expensive to buy , is easier to handle since it only one dose ’ t require extreme refrigeration , a 100 % efficacy rate after 49 days .. I wonder why no one is talking about all those death 1 - 12 days after and . No one is those . Amazingly “ no connection to vaccination was established ” in those previously healthy young individual who just dead after getting their second dose . all the time I guess ..","AZ Clots","2021-04-13"
"3059","You just the people today have already been . I haven ’ t !!!!!!!","AZ Clots","2021-04-13"
"3060","and so it ....","AZ Clots","2021-04-13"
"3061",".","AZ Clots","2021-04-13"
"3062","had the vaccine before he went into a coma ....","AZ Clots","2021-04-13"
"3063","We , the lab ....","AZ Clots","2021-04-13"
"3064","walking guinea and lab","AZ Clots","2021-04-13"
"3065","For 6 in 7 million ... that ' s less than 1 in a million .","AZ Clots","2021-04-13"
"3066","Woodcock","AZ Clots","2021-04-13"
"3067","J & J always have had . No surprise that another upset in their history .","AZ Clots","2021-04-13"
"3068",""" And Recommend J & J ( Covid ) Vaccine Pause ..."" thereby us , the people of , to redouble our to rapidly find out at any given moment , even while On - Line , who among us are unwittingly contagious ( i . e . - symptomatic or asymptomatic ) in order to # for them to call their doctor and to self - quarantine per in of stopping this pandemic instead of more # . Thus , we ' re for the best while for the worse - case scenario of the # strain ( s ) and like the South , , & # Cluster5Mink rendering current no longer effective .","AZ Clots","2021-04-13"
"3069","That ' s what when you rush .","AZ Clots","2021-04-13"
"3070","That is why I do not trust these any not getting one .","AZ Clots","2021-04-13"
"3071","😒... why am I not by this .","AZ Clots","2021-04-13"
"3072","Get your experimental Bill 💉","AZ Clots","2021-04-13"
"3073","Well , when you rush a product out of the lab without proper , extensive testing what do you expect ?","AZ Clots","2021-04-13"
"3074","More impending doom , I see","AZ Clots","2021-04-13"
"3075","Let ’ s see how much a kick in and get see if they are the same as with over 39 million given with 91 and no proven links to blood . You are at more risk of blood taking the pill - fact !","AZ Clots","2021-04-13"
"3076","Why would you treat people for something they don ' t have ? are modern - day snake oil . I ' m a biochemist and I can honestly say they don ' t know what they ' re doing","AZ Clots","2021-04-13"
"3077","It ’ s Extremely rare ... but let ’ s put it on pause","AZ Clots","2021-04-13"
"3078","Better save than sorry .","AZ Clots","2021-04-13"
"3079","This is funny not even any of these so they have know clue what there talking about","AZ Clots","2021-04-13"
"3080",""" Extremely rare "" but we ' advise to stop use .....","AZ Clots","2021-04-13"
"3081","Just wait a couple .","AZ Clots","2021-04-13"
"3082","No thank you .","AZ Clots","2021-04-13"
"3083","i knew this was happen","AZ Clots","2021-04-13"
"3084","They ' t rare side effects . They are consistently common . Your propaganda poison is evil .","AZ Clots","2021-04-25"
"3085","> creation for healing / building a strong immune system > creation","AZ Clots","2021-04-15"
"3086","Why can ' t I find the Tucker news on the vaccine he did like 30 showing Canada saying the vaccine ' t enough to stop cv19 .","AZ Clots","2021-04-15"
"3087","You know there ’ s more than 6 ! Don ’ t put this poison in your body people !!","AZ Clots","2021-04-14"
"3088","A couple of ago my doctor this was the one . Um . No thanks","AZ Clots","2021-04-14"
"3089","I can ' t wait for the day when the would DARE to tell us about the adverse effects from & ' s lethal !","AZ Clots","2021-04-14"
"3090","How many times have they said an ABUNDANCE of CAUTION since the first roll out ??","AZ Clots","2021-04-14"
"3091","But I thought this was completely harmless after being side - by - side tested for a whopping six ....","AZ Clots","2021-04-14"
"3092","Trump credit for Covid - 19 - own J & J .","AZ Clots","2021-04-14"
"3093","China to 69 , to 43 for and . and , once thought 3rd world banana their own , US ineptitude and selfishness . US Vaccine will help the world stay safe against US Covid mismanagement . What country would take the risk ? Not wearing and not taking the vaccine in danger . True are pro - country not pro - self .","AZ Clots","2021-04-14"
"3094","The US J & J and the Brit have both had blood . While China donated to 100 or more the US kept all it ' s for itself . 15M by accident is as stupid as a cop mistaking a gun for a . When was great ?","AZ Clots","2021-04-14"
"3095","2025 - 2028","AZ Clots","2021-04-14"
"3096","When will aspirin be removed from the market ? More people die from aspiring to J & J vaccine , and many other in use !","AZ Clots","2021-04-14"
"3097","28 days","AZ Clots","2021-04-14"
"3098","Stop ALL of these . Do Not experiment on the people .","AZ Clots","2021-04-14"
"3099","Why ’ t headline say that JUST J & J vaccine yesterday , 12 ?","AZ Clots","2021-04-14"
"3100","Dont matter because i wont be taking a one of these .... covid passport ?... yea at that point my will be my passport ...","AZ Clots","2021-04-14"
"3101","Just don ' t take the shot problem","AZ Clots","2021-04-13"
"3102",""" The are safe and effective "" Is that so ? I don ' t care if you tell that their 120 % safe and effective , and your giving us for free ice cream and cake for a year , I still won ' t take the 💉 in the 💪👎","AZ Clots","2021-04-13"
"3103","and HATE competition . Search their criminal on . It ’ s all there . 🦑","AZ Clots","2021-04-13"
"3104","People stop taking these they are poison they are up to no good guide look it up and don ’ t make the get these they are dangerous unless you want to go to your funeral","AZ Clots","2021-04-13"
"3105","When the media is talking about this vaccine side effects , you can imagine how bad is it that they can ’ t hide it","AZ Clots","2021-04-13"
"3106","When the media is talking about this vaccine side effects ,","AZ Clots","2021-04-13"
"3107","That ' s be a big "" "" for the & stock share .","AZ Clots","2021-04-13"
"3108","I ' d like them to speak to all of these breakthrough I keep reading about all over the place ( those who have been but get Covid ..) and explain to the what ' s up with that .. and why , suddenly , it ' s for the to run around without a mask . And why the case have suddenly , especially in highly . Could it be because the are the ?","AZ Clots","2021-04-13"
"3109","This me of the movie The Strain and the novel The Evolution where the blood rapidly and turns into dust when infected by this alien virus .","AZ Clots","2021-04-13"
"3110","So glad I ’ m not getting any of these","AZ Clots","2021-04-13"
"3111","If you believe in evolution “ which I don ’ t ” wouldnt it beneficial to mankind to let the strong survive And the weak to die off ? Oh wait it ’ t be morally right .... Wonder where our morals came from ....","AZ Clots","2021-04-13"
"3112","7 million people got vaccine , 6 got a rare reaction that may or may not have been by the vaccine . Why are they really halting vaccination and a return to normal free society ?","AZ Clots","2021-04-13"
"3113","How is it a “ rare ” side effects when they recently giving to the people ? Obviously , to cover up this experimental “ authorized ” vaccine .","AZ Clots","2021-04-13"
"3114","The fact that there are to thoroughly investigate even small of adverse ( 6 out of 7 million ) is one of the why people should have the utmost confidence in our vaccine regulation process . A lot of people will not see it that way ...","AZ Clots","2021-04-13"
"3115","Low they be looking for a rash on and ?","AZ Clots","2021-04-13"
"3116","+ _ ) virus / / flu covid - 19 in the United . Two virus in the Fort in the U . S . in 2019 , and the United virus infected the world . are trying to hide the truth Influenza comes from the United , comes from the United ， covid - 19 come from the United .","AZ Clots","2021-04-13"
"3117","That ' s 1 reason why I want take the vaccine heck dont no what ' s in it or what they ' re in it besides it probably dont even work anyways","AZ Clots","2021-04-13"
"3118","I would still get the J & J vaccine over drinking bleach and taking as Trump once advised .","AZ Clots","2021-04-13"
"3119","You were people what are you from a company that ' t even get baby powder right","AZ Clots","2021-04-13"
"3120","the only non - widely available in the US is being ...","AZ Clots","2021-04-13"
"3121","The ENEMY ... THERE IS A WAR GOING ON IN THIS WORLD AND THE PRIZE IS YOUR SOUL ... DONT TAKE THE SHOT OF THE DEVIL 💉","AZ Clots","2021-04-13"
"3122","- 5 = Aborted Fetal in J & J ????? also 🌻🤔","AZ Clots","2021-04-13"
"3123","So why not slow every vehicle speed limit to 5mph ? Eliminate left turns ! If we focus on the rare then we don ' t deserve to live . Everything you do is a risk . Government us to stay inside , stay afraid and stay .","AZ Clots","2021-04-13"
"3124","People need to DON ’ T take these . Covid will disappear in a few days , like a miracle","AZ Clots","2021-04-13"
"3125","$$- are no longer Physician ’ s , They are of the Drug / . They seem to have abandoned The True Science Of The Physician and Recognition of the Fact , When The Body The Natural It Needs , “ The Body Itself ”. Read , “ This Is A - Attack Alert ”, by B , to better understand the Truth about Vaccination . Vaccine Immunity The Body It ’ s Power To Resist , , Fungi , Bad Bacteria & .","AZ Clots","2021-04-13"
"3126","when the vaccine is mandatory , those it need to be responsible for the side effects - PERIOD !!!","AZ Clots","2021-04-13"
"3127","about China taking over world .... what about they ' re buy up right here in ? 10 that I know of .... media ... GE .... movie company .... what ' s their angle of control ????","AZ Clots","2021-04-13"
"3128","I already had covid ... I have the natural .. shove that vaccine up your . I do not consent .","AZ Clots","2021-04-13"
"3129","This is why no one I know myself will never take the covid shot","AZ Clots","2021-04-13"
"3130","Just so everyone , several in the have already done this for the same . Those are now these blood more than a month after vaccination . sure this is just the 1st we will hear about adverse side effects from these .","AZ Clots","2021-04-13"
"3131","OH MY GOD the vaccine is killing people . 😫 never trust science . SCIENCE the virus .","AZ Clots","2021-04-13"
"3132","Too bad this was the one I try .","AZ Clots","2021-04-13"
"3133","These are not . They are . There is no virus in it at all . Covid not been isolated or replicated . No informed , no long term , and no animal . No . Nope . No way !","AZ Clots","2021-04-13"
"3134","Imagine that ... Look , This is what you get when the government and the lie to you and tell you that a COMPLETELY EXPERIMENTAL drug is absolutely safe ... W are less than 6 into THE OF THESE .... Only a complete moron should be taking ANY of these Covid "" "". NOBODY what the longer term of this experiment will be ... But hey , If you want to be a guinea pig .... then do not complain when yourself or your start suffering and dying of the side effects .","AZ Clots","2021-04-13"
"3135","Been telling no to take the j & j vaccine . don ' t remember what they did with baby powder .","AZ Clots","2021-04-13"
